id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
3305,1,PB,de 1 a 2 anos,Menos de 1 ano,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 101 a 500,Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês
3306,1,PB,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Outra opção,Masculino,Tecnologia/Fábrica de Software,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,Menos de R$ 1.000/mês
3307,1,PB,de 5 a 6 anos,de 5 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Setor Alimentício,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
3308,1,PB,de 5 a 6 anos,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 1.001 a 3.000,Arquiteto de Dados/Data Architect,de R$ 12.001/mês a R$ 16.000/mês
3309,1,PB,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Telecomunicação,Acima de 3.000,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
3310,1,PB,de 7 a 10 anos,de 1 a 2 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3311,1,PB,de 7 a 10 anos,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Prefiro não informar,Tecnologia/Fábrica de Software,de 1.001 a 3.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3312,1,PB,de 7 a 10 anos,de 5 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 101 a 500,Cientista de Dados/Data Scientist,de R$ 20.001/mês a R$ 25.000/mês
3313,1,PE,Mais de 10 anos,Mais de 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Setor Público,Acima de 3.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 16.001/mês a R$ 20.000/mês
3314,1,PE,Mais de 10 anos,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Varejo,Acima de 3.000,Analytics Engineer,de R$ 12.001/mês a R$ 16.000/mês
3315,1,PE,Mais de 10 anos,Menos de 1 ano,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Agronegócios,de 101 a 500,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3316,1,PE,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Área de Consultoria,de 11 a 50,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
